[0:06:51] ultraafro: そのキャラのまんまでいってほしい
[0:06:51] vg7wr: あも最
[0:06:51] twitch_kfcsan: ｷﾓｰ
[0:06:54] you_lose10969: ﾉｱｰのツイートが生み出した化け物
[0:06:54] lime051101: のあちゃん前世チョガスだよ？
[0:06:55] corgi_green: チョガスしかしらない
[0:06:55] のわるーじゅ: サイラスタリックかー
[0:06:57] ぷーくま: そうだね〜
[0:06:59] 882304: ノーチラスは使ってもらえるんじゃないか
[0:07:05] Nemuuu1: 前回はTopやってたね
[0:07:06] nbcccx: ヨネノーチラスで勝てる
[0:07:08] lonelyrolling_star: ツイッチで初心者刈りしよう
[0:07:08] neron__234: セナチョガスやるか
[0:07:09] いのっち05: 僕赤ちゃんまじ幸せ
[0:07:09] ねとまる: 
[0:07:13] ヌマクローになりたい: wwww
[0:07:13] akatsuki152431: こーれアフェですなんでも出来ます
[0:07:18] スノーペイン: セナチョガスでいいやん
[0:07:19] こがわたくま: セナチョガス行くか
[0:07:19] 中ととろ: タンク系合うんかな？
[0:07:21] corgi_green: セナチョガス
[0:07:23] さすらい777: チョガスヨネ！？
[0:07:23] ぐりんてぃー89: 食べさせてくれるしアフェリオスいこう
[0:07:28] ぷーくま: セナってありなん？めっちゃ怖いんだけどw
[0:07:35] Nemuuu1: アッシュ、チョガス！？
[0:07:35] ひるるく: www
[0:07:37] ねとまる: アフェやろうぜ
[0:07:40] mizunomitaro: wwwww
[0:07:41] ぴえた: スタガw
[0:07:41] moyamoya1117: ADフェイトやりませんか？
[0:07:42] yamada_gg: ｗ
[0:07:42] 助屋九郎: obosanOi obosanSu obosanOi obosanSu obosanOi obosanOi obosanSu
[0:07:42] twitch_kfcsan: このスキン大好き
[0:07:43] imu16: ｗ
[0:07:44] ぷーくま: PopNemo
[0:07:45] ちゃいりー: 50A
[0:07:45] ぐりんてぃー89: ロンハーの企画のやつねｗ
[0:07:46] さすらい777: ふんふんふーん♪
[0:07:47] インセクター羽賀研二: ヨネ取り上げピックありです
[0:07:49] bak_u: ラカン
[0:07:49] yui6325: 電球かち割るべ
[0:07:50] ultraafro: wwww
[0:07:51] 今日も生きたね: らららんららんらんら～ん
[0:07:52] vg7wr: 癖エズリアル
[0:07:58] yamada_gg: おぼも失恋ソングで対抗するぞ
[0:08:00] nine_evol_boost: 今強いしな
[0:08:00] lime051101: おぼ的にどこのチームが強そう？
[0:08:02] nisikisyo: エズまじで何きても問題ないよね
[0:08:02] さすらい777: ちなみにエズマジで今強えです
[0:08:08] ぷーくま: なぎさっちにとられたやつだ
[0:08:13] 月光の祈り: 強く強く、輝いてふんふんふーんながれ～ぼ～い、ほら、らららんらんらんら～ん
[0:08:14] nine_evol_boost: 馬鹿みたいにバフもらった
[0:08:15] nisikisyo: バフ入った
[0:08:15] のわるーじゅ: いまはスモルダーちゃう？
[0:08:17] imu16: バカみたいにバフされた
[0:08:17] yui6325: Wばか
[0:08:17] 今日も生きたね: バフされまくった
[0:08:18] かいちよ: シンプルにバフきた
[0:08:18] financier29: 超バフされた
[0:08:19] Rutu122: ただキャリーしきるのがムズイ
[0:08:20] さすらい777: アホみたいなバフ
[0:08:20] ぷーくま: BIGバフ
[0:08:22] twitch_kfcsan: 青いやつ
[0:08:23] Nemuuu1: アホみたいな量のバフが
[0:08:24] yamada_gg: ヤケクソバフがきた
[0:08:24] ねとまる: アイテムもバフも
[0:08:25] zaq1zaq3: ヤケクソバフ
[0:08:26] binbiba: ダブルが強いって聞きました
[0:08:27] ニボシ: ほぼ全部バフされた
[0:08:27] nine_evol_boost: えっせんすまなむね
[0:08:28] renminl: 脅威メタで弱すぎてバフ来た
[0:08:29] ぐりんてぃー89: ＷのADレシオが60％から100％に上げられた
[0:08:30] chacomochipan04: 超ダメージ
[0:08:32] genmybrown: スキルの火力が底上げされてシンプルつよい
[0:08:38] financier29: そうだね
[0:08:39] destroy_maeda: エッセンスリーバーとマナムネ、
[0:08:40] lime051101: 大会当日にりりあのナーフ来るよ
[0:08:43] ちゃいりー: エズまた結局ナーフされるんじゃないっけ
[0:08:44] jirojiro_36401889: エズ次ナーフじゃない？
[0:08:48] maka99990: ならタリックヨネでいこう
[0:08:51] t_aurelionsol: タンクがいると溶かせないとかよくある
[0:08:56] さすらい777: 大会当日パッチどうだっけ
[0:08:58] 助屋九郎: 本番いつだっけ
[0:08:58] Rutu122: いーや？
[0:09:00] mero0719: される
[0:09:03] erism_520: 当日パッチ当たるはず
[0:09:03] nine_evol_boost: いや
[0:09:03] mizunomitaro: されるはず
[0:09:04] bbkusoneko: なんかパッチ当たるってきいた
[0:09:06] ねとまる: やっぱりスキルチャンプか
[0:09:08] actvdvnju: 後入り得意だしサミーラとかどう？？
[0:09:09] chacomochipan04: Eを上手く使えば死なずにずっとダメージ出し続けれるから強い
[0:09:10] ニボシ: 本番当日にナーフ来る
[0:09:11] かいちよ: らい様が夜更カスでエズ使って馬鹿みたいにダメージ出してる試合解説付きでYouTubeに上がってるよ
[0:09:11] ぐりんてぃー89: ERバフされるし大丈夫なんじゃね
[0:09:15] financier29: 当日パッチまじｗ
[0:09:16] ぴえた: www
[0:09:17] 中ととろ: ｗｗ
[0:09:18] bbkusoneko: ｗｗｗ
[0:09:20] がはは_: うるかコーチってオリンパス激ロー以来？
[0:09:20] doretch: ワクワク大会や
[0:09:20] ヌマクローになりたい: まじかw
[0:09:21] ぬーぼ: ここだけの話ガチで勝てるのはジンです あいつはBANもされないしとてつもなくつよい
[0:09:22] yamada_gg: ｗｗｗ
[0:09:22] インセクター羽賀研二: Q自体にER乗る
[0:09:24] さすらい777: さすがにトーナメントサーバーは無理かあw
[0:09:28] lonelyrolling_star: シーンだけどQ自体に乗ってるから
[0:09:35] imu16: 小さい島国のイベントなので…
[0:09:37] uronoyakata: そもそもエズだと昔使ってて相手に認知されてるのがBAN対象になりそう
[0:09:41] twitch_kfcsan: タンク多そうな気がする、今大会
[0:09:45] ぷーくま: ジンはパッチ入ってもまだ強そうな気がする
[0:09:45] ニボシ: Qだけでいい
[0:09:46] nine_evol_boost: エズはQだけで発動
[0:09:47] yui6325: そう
[0:09:57] nine_evol_boost: でもAAも大事
[0:10:02] tephainmayer: パッシブもあるから出来た方が強くはある
[0:10:03] 中ととろ: だからほぼ積んでるのね
[0:10:07] ぬーぼ: QはAA扱いだから
[0:10:09] yui6325: オンヒットだからねえ
[0:10:11] ニボシ: QがAA判定持ってる
[0:10:12] せい22: Q通常
[0:10:16] インセクター羽賀研二: AAはスキル回すとAS上がります
[0:10:19] ぷーくま: 気持ちいい
[0:10:23] ぐりんてぃー89: スキル発動→着弾で判定みたいな感じなのかな
[0:10:26] kasukabeharu: わたしはQがあたらなかったときAAでごまかします
[0:10:32] twitch_kfcsan: マジで適当に使っても勝てるぞこいつ
[0:10:35] krt_09: GPのQと同じだよ
[0:10:35] corgi_green: 1人で完結してるか
[0:10:39] vg7wr: アスキーアートw
[0:10:40] chacomochipan04: わたし的に、初心者帯ならシヴィア最強だと思ってるんだけど
[0:10:43] tlaloc0201: 上手いエズはAAもいれる
[0:10:45] kajufs: 今回ケイトリンよく出てきそうではある
[0:10:48] 今日も生きたね: Q押す(スキル使用)→当たる(通常判定)だから
[0:10:48] Rutu122: ゆうてスキルショットなんで当てないとね
[0:10:53] まよですけど: また髪型もエズにします？
[0:10:55] rebel_1253: ザヤどう？自衛出来るタイプ
[0:11:00] ぷーくま: シヴィアMFは硬いね
[0:11:10] twitch_kfcsan: シヴィアいいねえ
[0:11:11] ぴえた: なつかしい
[0:11:12] かいちよ: なぎさっちに怒るやつね
[0:11:14] 中ととろ: シヴィアＭＦエズできるなら良さそう
[0:11:15] yuyu0082: スモルダー使う？
[0:11:16] ayataka105: な、ぎ
[0:11:18] tlaloc0201: スモルダーで蹂躙しよう
[0:11:18] インセクター羽賀研二: ザヤは慣れないとダメージでない
[0:11:20] kajufs: サポが初心者多いからどうなるか
[0:11:20] このみお姉さん: な、ぎさっち
[0:11:20] ぷーくま: あれ？the k4sen1回もmidやってない？これwww
[0:11:22] nine_evol_boost: しかも脅威シヴィアの時代じゃね？
[0:11:27] t_aurelionsol: 激昂のおぼのときね
[0:11:28] chacomochipan04: シヴィアは自衛できるし攻撃力半端ないよな
[0:11:31] もにかん5910: おいす
[0:11:35] のわるーじゅ: Eの攻撃範囲内にとんでマウス動かさずにQ打つと絶対当たります
[0:11:37] さすらい777: 6年ADCやってたプライドはないんかー！！のやつ好き
[0:11:38] ぐりんてぃー89: MFは取り上げも視野に使えた方が良いのかな
[0:11:40] ぷーくま: ケネンだね〜
[0:11:42] ニボシ: ジェ、イス
[0:11:43] YuumiTheMagicaICat: obosanHi
[0:11:44] めっつれもん: APCスウェインダメなの？
[0:11:47] デブガキ: ポークマン
[0:11:49] kajufs: ヴァルスでもいいか
[0:11:49] Gteruhisa: 3体のなかに異様なピック入れといて、それbanさせないか？
[0:11:57] YuumiTheMagicaICat: ADC頑張れー
[0:12:00] bitou0: 実際おぼめんadc良さそう
[0:12:01] yuu_freedom: おぼさんって普段メレー以外使ってるの全然見たことないな、楽しみ
[0:12:03] るりいろ3: 今日って何時からチーム集まるとかわかりますか？
[0:12:08] potetoAIMmen: オボリアルでいくんすか？
[0:12:14] あきじょ: k4senKansya k4senKansya k4senKansya
[0:12:15] エビリファイ: アッシュも熱い
[0:12:17] krt_09: 偉大な男一推しのヴァルスはどうでしょうか
[0:12:19] せい22: 最終的にノアちゃん肩に乗せてadcヨネやれば良いよ
[0:12:21] Omega_Enjoy: ニーラどう？
[0:12:22] YuumiTheMagicaICat: ほ↑そい
[0:12:23] uronoyakata: おぼさん、集団戦の立ち位置とかはわかってるでしょ？かなり大会内上位予想してるわ
[0:12:23] 中ととろ: 見た目が少し
[0:12:23] 7jskoa: おぼジン見たい
[0:12:25] かいちよ: こいつtipsいっぱいあるよ
[0:12:27] twitch_kfcsan: ハートスティール倍くらいの太さだよ
[0:12:28] hapyypopyy: おぼさん死なない立ち位置上手いからADC強くなりそう
[0:12:28] ぷーくま: 見よう
[0:12:29] ぴえた: おおー
[0:12:31] tanakataro139: ヤスオbot行きましょう
[0:12:33] ksn0127: ママ
[0:12:38] あきじょ: 細いってことは詐欺判定できるってことだぞ
[0:12:39] ぬーぼ: ストライカーエズリアルおすすめ
[0:12:41] ANATAMori: おまんま食わせてもらうことしかわからねえ
[0:12:43] lime051101: opチーム見つけようと
[0:12:45] 8ma9chi55: うるーか全レーンコーチング出来るしいけるべ
[0:12:45] デブガキ: 逆にペイトゥウィンだろ
[0:12:48] dochjam: くじニキも見ないか？
[0:12:53] モチモチモ: おいす
[0:12:55] manaby_t: 叶さんいるの強そう
[0:12:57] kasukabeharu: ｗ
[0:12:57] bitou0: ヴァルスもよさそう
[0:12:57] 中ととろ: わかる
[0:12:58] インセクター羽賀研二: 判定は変わらないから細いほうがつy胃
[0:13:01] ぐりんてぃー89: ｗ
[0:13:01] るりいろ3: 実際このチーム強い気がする
[0:13:02] ぴえた: www
[0:13:02] ぷーくま: www
[0:13:05] そほにる: 大会いっぱい見てるし立ち位置わかってそう
[0:13:06] ぬーぼ: かもしれない運転
[0:13:08] イケザエライダ: https://twitter.com/thek4sen/status/1754119388444434839?s=46
[0:13:08] mizunomitaro: www
[0:13:09] YuumiTheMagicaICat: LOLの才能だよねそれ
[0:13:09] konpeitoyade: 傘ね
[0:13:10] なゆら: ｗｗ
[0:13:11] 中ととろ: それは単純に怖い人だよｗ
[0:13:12] doretch: 危険予測◎
[0:13:12] twitch_kfcsan: それadcに必要
[0:13:13] syotowa0414: それは皆や
[0:13:13] ヒヤヤッコォ: やべえくそわかる
[0:13:15] genmybrown: 長生きする性格ではあるよｗ
[0:13:16] maka99990: それは信用しなくていい
[0:13:18] 8ma9chi55: 道歩いてる時後ろ振り返るタイプ？
[0:13:19] bonjiri7: おぼ、隣にずっと人がいる環境に慣れる？
[0:13:19] ぷーくま: ブッシュには敵がいると思わないとな
[0:13:20] bitou0: のあちゃんは信じるな
[0:13:24] rico_726: 大事なこと
[0:13:28] bluestorm417: おぼめん、、、やれんのか❓
[0:13:31] tansanman01: 急にブリンクして殴りにくるかもしれんし
[0:13:34] lonelyrolling_star: じゃあオラフはできない
[0:13:34] おぷる: 危機管理○
[0:13:35] vg7wr: いい事やん
[0:13:35] nine_evol_boost: (スペルシールド貰えるかな、、？)
[0:13:35] ヒヤヤッコォ: 芝刈り機おじさんとか道変える
[0:13:39] おがちゃん: おぼさんがADCと聞いてきました
[0:13:43] 壱確: おざす
[0:13:44] ねとまる: ﾉｱｰ
[0:13:46] sat0000000: トリンダメア下手くそだもんね
[0:13:46] ぷーくま: w
[0:13:49] maka99990: ADCはビビったらダメな時多いイメージ
[0:13:49] kajufs: じじいがガンクしてくるかもしれんしな
[0:13:52] こがわたくま: adcはタンクです
[0:13:53] nine_evol_boost: カイティングはできる？
[0:13:55] 中ととろ: イキリ前ブリンク見せてくれ
[0:13:57] uronoyakata: 変なルート通らないのは重要度たかい
[0:13:57] tephainmayer: 実際あり
[0:13:57] takosu_1: 気持ちよくなろうとする節はある
[0:13:57] r_ronge: まぁわんちゃんあり
[0:13:59] financier29: この話なんだったんだよ
[0:14:00] ぬーぼ: ヤスオADや！
[0:14:00] manaby_t: ADCが一番ミクロいるからなぁ
[0:14:02] masayatown1104: 刀抜くか
[0:14:02] yamada_gg: ｗ
[0:14:03] guris_007: 正直ありです
[0:14:03] YuumiTheMagicaICat: ガレンADCでも
[0:14:05] dorujichan: lolはゲームじゃない、人生と思え
[0:14:05] lime051101: ヨネはTOPでとられる
[0:14:06] toshikiiii: LOLってその人が抱えてる本質がでてくるからな そういうことだよ
[0:14:06] おぷる: ヤスオラカンいくか
[0:14:06] bitou0: おぼぽんになってくれ
[0:14:09] 綾野㌠: サイラスは？ダメなん
