[0:05:42] rihito0209: ハイタニさん爆笑してたよ🤣
[0:05:46] moukuso: 名もなきコンボ
[0:05:46] 呂布カルパス: ハイタニさん爆笑してたな
[0:05:47] むつっきー: あれは震えた
[0:05:59] 素手喧嘩のおじき: 高木式の後の、見たかギーやん！！が震えた！
[0:06:00] tyyytws: ブロッコリー持ってな
[0:06:07] 非公式お兄さんフニュー: thek4senも高木のサミーラ色んな人に褒められてたよ
[0:06:08] empirenow57: 勝った人の視点見るの好き
[0:06:12] haaa653: キャベツｗｗｗ
[0:06:13] 冴羽リョウ: 感電キャベツ歓喜
[0:06:20] magical_ba77: 高木さんLCQ勝てる自信ありますか？
[0:06:21] tyyytws: キャベツか
[0:06:33] つっきー3355: キャベツちゃんと食ったか？
[0:06:35] yoooooowwwe: 食った？
[0:06:44] なっせー: キャベツに語りかけるのびっくりしたw
[0:06:48] tony_tgr: メナもキャベツの効果かな
[0:06:51] haaa653: おでん
[0:06:57] iytreszhii: 緑間かよ
[0:07:02] pandasan_power: おでんあったらジュリにもかってたか
[0:07:03] donguri_hs: ｗ
[0:07:09] むつっきー: おでん使ってたら一体どうなってたんだ...
[0:07:30] sumo_102: ニシキンさんのコーチング寝落ちして延期したんですか？
[0:07:44] 素手喧嘩のおじき: すき焼きいつ行くん？
[0:07:49] 冴羽リョウ: RFNでるの？
[0:08:00] むつっきー: おいちゃんマイペースやからなー
[0:08:11] ミりン: ないす
[0:08:15] empirenow57: まじかよ
[0:08:15] kakane0908: ないす削り
[0:08:16] tyyytws: ええやん
[0:08:19] 呂布カルパス: いいね
[0:08:29] oooohfgfh: ええなぁ
[0:08:30] mimi_9_so_222: 教えると成長するよね
[0:08:37] ofum1: 高木ってスト６うまいんだな
[0:08:45] ミりン: 上手いけどな
[0:08:49] empirenow57: うまくなってね？
[0:08:54] pandasan_power: ニシキンさんにちゃんと謝った？
[0:09:14] donguri_hs: うっま
[0:09:23] pandasan_power: なるほど
[0:09:36] empirenow57: コーチングあったのか
[0:10:06] kamabokopi5: 1600ほしいくね
[0:10:16] corgi_green: クラシック変わってまだそんな経ってないから焦らずね
[0:10:22] takuhome: 1800
[0:10:22] 素手喧嘩のおじき: 1700やな
[0:10:25] 呂布カルパス: レジェンドいけ
[0:10:29] oooohfgfh: やっぱレジェンドか！
[0:10:32] BiffTannen777: まぁシーズンチェンジあった後はきついやろ
[0:10:32] magical_ba77: ほしいね
[0:10:35] toto05055: 今は1700ですごい
[0:10:35] yajiuma3: レジェンド高木いくぞ
[0:10:37] pandasan_power: でも今はブランクで動けないかもだけどあのコーチング期間は高木の実力にも絶対無駄じゃないよな
[0:10:39] haaa653: レジェンドほんとに頑張ってほしい！
[0:10:41] 朕は沢田: レジェンド高木見てみたいwww
[0:10:42] soumen0113: 久しぶりにカルビとやって欲しいや
[0:11:09] empirenow57: キャラ対策なしでレジェンドいこう
[0:11:24] 朕は沢田: イライラ？
[0:11:33] tyyytws: こわ
[0:11:34] ミりン: ww
[0:11:36] hinakoooo_fn: 悪夢？
[0:11:37] つっきー3355: こわ
[0:11:38] はりぷ: wwww
[0:11:39] むつっきー: こわww
[0:11:40] 呂布カルパス: こつわ
[0:11:40] as_desu: w
[0:11:41] monakaxyz: www
[0:11:45] ofum1: マスターまで何日でいったん？クッソ早いイメージ
[0:11:46] cyclenn: ずっとやってると夢に出るよな
[0:11:48] ミりン: ストレスになってるやんw
[0:11:48] pandasan_power: XQさんもマスターレートは苦しいって言いながらずっと回してた
[0:11:48] メルドン: ストレス溜まったら別ゲーやってリフレッシュするのも重要よ
[0:11:49] tanakeeen: 闇のゲームで発散しよう
[0:11:53] sumo_102: MRで目標が出来ちゃうと負けた時のストレスえぐいよね
[0:11:59] 朕は沢田: ハルク？
[0:12:02] 417かちゃ: 別ゲーで発散しよう
[0:12:04] o__oio: 入れ替えずっと引っかかりました強かったです
[0:12:27] むつっきー: そのストレスサミーラで解消しようぜ
[0:12:29] ミりン: サンドバッグ買おう
[0:12:34] 306h: 配信者みんなそれ言ってる裏だとやばいって
[0:12:35] roror110: メンバー誰いるの？
[0:12:44] 朕は沢田: ありけんも来んのか
[0:13:01] はいじん123: なんだっけｗ
[0:13:01] jamojibm: ワイプつけて欲しいです
[0:13:02] 11月が一番いいんだよね: はんじょうさん？
[0:13:03] rint2: はんじょう？
[0:13:10] sumo_102: 乾さん
[0:13:10] magical_ba77: ぜう？
[0:13:11] ak24853: たぬき忍者？
[0:13:12] banana_36647: たぬきか
[0:13:12] sumo_102: ？
[0:13:12] hideonjetttt: たぬき
[0:13:14] megu0418: たぬき
[0:13:14] taro02204869: 乾殿
[0:13:14] cafelatte_12: 乾殿
[0:13:16] hinakoooo_fn: たぬき忍者？
[0:13:17] naienu: たぬき
[0:13:18] as_desu: いぬいどのね
[0:13:21] ofum1: ????
[0:13:22] lelelele4415: いぬいどの？
[0:13:22] p4hiro: しんじ？
[0:13:23] つっきー3355: 乾殿
[0:13:24] tyyytws: にんじゃ？
[0:13:26] むつっきー: たぬきでござ？
[0:13:27] なっせー: たぬき忍者
[0:13:27] はいじん123: ？ｗ
[0:13:28] ゴンドリル: さるってｗ
[0:13:31] ak24853: チャレだもんね
[0:13:32] ミりン: さるw
[0:13:33] 呂布カルパス: wwwwwww
[0:13:33] つっきー3355: ？
[0:13:34] as_desu: は？
[0:13:35] ななしという名があります: えぇ…？
[0:13:36] oooohfgfh: www
[0:13:37] せるびす: www
[0:13:37] BiffTannen777: チャレはたぬきや
[0:13:39] empirenow57: あと一人は？
[0:13:39] ofum1: RaccAttack RaccAttack RaccAttack
[0:13:40] lelelele4415: ?????
[0:13:42] ryu5ei_: ww
[0:13:45] toto05055: するが？
[0:13:51] cyclenn: haitaniHaitani5
[0:13:53] ak24853: じゃあたかやスペシャルやんあと1人
[0:13:56] BiffTannen777: てことは最後はたかやか
[0:14:00] moukuso: たかやスペシャル？
[0:14:06] as_desu: 高木「たぬき忍者は猿」
[0:14:06] あきあきふゆふゆ: wwww
[0:14:12] hideonjetttt: ｗｗｗ
[0:14:16] ofum1: Wたか で草
[0:14:17] ミりン: おお
[0:14:18] magical_ba77: 高木スペシャルじゃなくて？
[0:14:18] popboy1111: メンツおもろすぎるwww
[0:14:23] むつっきー: lol勢だらけだ
[0:14:25] なっせー: wwww
[0:14:25] seto256: レートえぐそう
[0:14:27] pandasan_power: 入れ替えの判断いいね
[0:14:30] お猪口: 直近イベントありますか？
[0:14:31] おむだお: うるかさんもLOLほめてたよ
[0:14:36] tanakeeen: 入れ替えできるのいいね
[0:14:37] ofum1: たか、や
[0:14:44] はいじん123: すげえメンツだな
[0:14:46] hiyokodoll: さんちゃんとも遊ぼうぜ
[0:14:52] 冴羽リョウ: インパクト返せないと思われちゃった
[0:14:53] jamojibm: ワイプつけて欲しいです
[0:14:56] はいじん123: チャレンジャーだつってんだろｗ
[0:15:05] マンモスいちご: ニシキンさんのコーチング延期になったの
[0:15:23] tonpadayon: なんか最近びっくになってきてない？
[0:15:23] kamabokopi5: アフロのタチ悪い？
[0:15:24] やまだのやまやま: それはしょうがない
