[0:13:35] Seakeh: ｗｗｗｗｗｗｗｗｗｗｗ
[0:13:35] marita1126: wwwwwwwww
[0:13:35] faiba2525: wwww
[0:13:36] _のり: www
[0:13:37] あやかた: w
[0:13:38] yagi_ais: まぁ正解かｗｗｗ
[0:13:38] ぴくしあ: ごみすぎWWWWWWWWWWWWWWW
[0:13:39] きんぐごりらまん: www
[0:13:40] 立派なマシュマロ: えぐww
[0:13:42] nnn020803: わお
[0:13:43] faiba2525: エゴイストでいいね
[0:13:45] marumaru1599: www
[0:13:45] ハヤシだよ: やばすぎる
[0:13:46] いちみく: オペ大好きマン
[0:13:47] ﾄｲ: wwwwwwwww
[0:13:50] yagi_ais: ｗｗｗｗｗｗｗｗｗｗｗｗ
[0:13:52] まろにーー: 負けてら
[0:13:53] nayuutm: 視野広いな
[0:13:53] bonjin_ss: 倒置法
[0:13:54] jisa3150: wwwwww
[0:13:54] slr0n: wwwww
[0:13:54] raminuun40: ｗ
[0:13:56] _のり: わーお
[0:13:56] ハヤシだよ: えー
[0:13:58] ﾄｲ: ええええええ
[0:14:01] 初動激戦区降り御免早漏: wwww
[0:14:02] yagi_ais: 読まれてそうではあるがｗ
[0:14:03] SANJi_3_00: いいピークだkj
[0:14:12] yagi_ais: 相手がうまかったかｗ
[0:14:26] 初動激戦区降り御免早漏: 断末魔◎
[0:14:27] marita1126: まぁたしかに
[0:14:29] yagi_ais: フィジカルマップだなぁ
[0:14:32] 丸もちお雑煮: アイボ、野良だとオペ無限に刺さるよね
[0:14:34] faiba2525: あじゃは次アセント消えると思います？
[0:14:46] erf235: 今のところバイ合わせず味方死ぬの待ってオペ買って負けるtroll男になってる
[0:14:48] 리リンチャン: ジェットゲーミング..
[0:14:50] こんにちわとそん: それかレイナ禿げるか
[0:14:50] marita1126: 結局フィジマップ
[0:14:57] 虚無ぷりん: アイボのジェットコツある？
[0:14:57] lemon_ly4: 本人だー
[0:14:58] SANJi_3_00: 攻めがね、エントリーはチェンバーじゃなんもできんからな
[0:15:03] ぴくしあ: 今のとこオナニープレイ
[0:15:06] mqhoro: チェンバーはキャリー無理か。。。
[0:15:06] lambgoatyagi: そうなんや
[0:15:17] yagi_ais: 格付け完了か
[0:15:18] sabotaju: ここのジェットエントリーわかってない人多いからじゃない？
[0:15:33] 丸もちお雑煮: 強くて草
[0:15:37] Mikepotato_06: ヴァイパーシェリフですか
[0:15:55] 리リンチャン: エゴ出してほしいな
[0:15:58] hutaake: それ普通のチェンバーやん
[0:16:00] ハヤシだよ: 敵ヴァイパーいまのつよ
[0:16:08] 丸もちお雑煮: 弱気になっちゃうよね
[0:16:08] m4rfy_: ジャッジチェンバーがきれい？
[0:16:09] たまにネギ: LOLではあんなにきもいのに
[0:16:15] yagi_ais: なるほど
[0:16:15] スロカスまんさい: チャーチング企画ですか？
[0:16:18] ぴくしあ: わかるわ
[0:16:26] SANJi_3_00: お
[0:16:29] ハヤシだよ: セカンドジャッジやめてね
[0:16:43] SANJi_3_00: いい感じだぞ
[0:16:49] yagi_ais: いいねぇ
[0:16:50] 初動激戦区降り御免早漏: ないすだ
[0:17:07] 丸もちお雑煮: メンタルゲーすぎる
[0:17:08] ヨッシー32: フナチャレ
[0:17:12] m4rfy_: ウインナー棒精神
[0:17:16] faiba2525: サード取られたらちょっと思っちゃう
[0:17:16] shigure_n08: 勝てるよ、が大事か
[0:17:21] yagi_ais: さすがに思っちゃうわ
[0:17:22] yusei0304: ダメな例じゃない？w
[0:17:23] 初動激戦区降り御免早漏: そうね
[0:17:23] erf235: まじでバイ合わせないの終わってるw
[0:17:24] _のり: lolにも言えることだ
[0:17:34] lambgoatyagi: レチゴー
[0:17:36] yagi_ais: ん
[0:17:36] みりたこファン: can win
[0:17:51] yagi_ais: ｗｗｗｗｗｗｗｗｗｗｗｗ
[0:17:57] m4rfy_: ｗ
[0:18:00] さまえるです: はひｗｗ
[0:18:04] tORa610: こういう時味方に一生ウィナボー言ってたら割と勝てる時ある
[0:18:11] SANJi_3_00: ジェットのってきたぞ
[0:18:29] daikonqe: BloodTrail BloodTrail
[0:18:32] dorade40: BloodTrail
[0:18:33] さまえるです: BloodTrail
[0:18:35] lapyyyyy: BloodTrail
[0:18:38] hpymssc: BloodTrail
[0:18:39] ハヤシだよ: BloodTrail BloodTrail BloodTrail
[0:18:40] yagi_ais: GOD somethingだし弱いわけがない（）
[0:19:02] 丸もちお雑煮: 個人的にアイボはクソ詰めるの強いと思ってる
[0:19:25] lambgoatyagi: この新しいsr強いの？
[0:19:38] SANJi_3_00: ほえー
